danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;id;duration_ms
0.724;0.268;-15.384;0.0403;0.829;0.000528;0.492;0.599;86.727;0AmPp1dsvdWFNTBs0nJBsC;519707
0.833;0.199;-13.781;0.0518;0.941;0.907;0.114;0.831;110.689;3ctsORVoVEDUxLpQAL0zOC;168720
0.575;0.43;-13.168;0.0363;0.822;0.000661;0.115;0.427;82.691;7xzMrUmlooPa1Fmp88hlYc;293640
0.547;0.2;-16.734;0.0392;0.826;3.84e-05;0.135;0.551;91.768;3eg6Yi9x0gN3k4nD4h6il3;182973
0.693;0.4;-11.631;0.0319;0.903;0.803;0.0986;0.573;117.954;4r7iDEGdW2Gw9hJlCbi5qL;204507
0.732;0.555;-7.973;0.0326;0.627;0.0;0.112;0.73;114.982;1jecO8NeYLsVWVptITz4c1;206612
0.823;0.8;-7.198;0.0419;0.614;0.0;0.0934;0.969;126.315;1BLXxFPDL2BT37nHKD7KrA;180174
0.797;0.105;-16.881;0.0969;0.885;0.000116;0.108;0.419;122.545;4fHDlIntTsRGSyTg5UYZYC;183133
0.757;0.546;-9.115;0.0316;0.793;0.000471;0.0613;0.596;115.054;62j7eQ0sw6abpz87MaCqX5;184040
0.334;0.397;-7.993;0.0284;0.558;0.0774;0.126;0.035;93.445;0u4rkpmNtgcFxYHepnVF4v;273107
0.413;0.232;-11.87;0.0371;0.928;3.15e-05;0.155;0.134;93.661;72cq3rZCIEYaq1TM8y5LBQ;270003
0.733;0.686;-9.118;0.0716;0.0386;0.0;0.0744;0.791;101.972;05XWcRAj9im1cuTFTNjtpY;188240
0.56;0.372;-14.446;0.179;0.698;0.0;0.198;0.773;158.217;4FpA7X9xYFYHVvhmTgcJhb;163107
0.435;0.366;-8.009;0.0286;0.486;0.00124;0.112;0.204;94.714;2YrrqkKoOZJuJNEfDc3CP2;220587
0.561;0.681;-7.633;0.0299;0.16;0.0132;0.106;0.62;87.262;4kyKnNbxFe86MMeV4xpDL8;301453
0.772;0.823;-4.987;0.0932;0.546;0.0573;0.203;0.891;129.493;2YHAWQbkx7a8cgQVR8yDGO;126040
0.748;0.466;-14.149;0.0366;0.0542;6.21e-06;0.241;0.891;115.045;2tr24VBF280hvO14tSNBEO;296507
0.711;0.586;-9.78;0.0514;0.435;6.48e-06;0.15;0.931;124.058;6g5qyQrAcoBX4X7XjxBoTO;148507
0.39;0.302;-8.687;0.0321;0.984;0.0;0.0871;0.422;82.52;4FmiciU3ZmfgABlbCSXcWw;186973
0.427;0.458;-12.863;0.0407;0.289;0.00107;0.239;0.423;129.303;7cUKT1Wiwve4E5iRFOLVmz;149240
0.442;0.528;-9.269;0.0562;0.565;0.029;0.0944;0.233;132.932;3aeTez7UBt10nc6gn4Xa7u;311537
0.758;0.337;-9.776;0.0494;0.71;1.94e-05;0.165;0.368;93.01;7rgvhF2a3WjRkRtx2lndyc;239835
0.72;0.558;-7.561;0.0417;0.318;0.00375;0.156;0.357;88.299;1TRXyuei4Nzc5wAkzHd123;212391
0.622;0.166;-13.555;0.0456;0.962;0.000255;0.0911;0.145;95.784;4gQRvISGFcf9zKowPzd7M6;157949
0.274;0.348;-8.631;0.0293;0.547;0.0133;0.334;0.328;87.43;4Hhv2vrOTy89HFRcjU3QOx;179693
0.535;0.306;-15.409;0.0735;0.963;0.0938;0.132;0.578;98.975;3EqTsPgglxIsFiijwe1qQ5;238880
0.784;0.381;-11.446;0.0739;0.394;0.0158;0.268;0.185;122.026;0kKrJbP4oATz98qQp2iXeC;357357
0.552;0.608;-9.786;0.0345;0.352;0.0;0.0533;0.637;112.367;4s6LhHAV5SEsOV0lC2tjvJ;162373
0.637;0.509;-7.985;0.38;0.574;0.0;0.154;0.461;94.202;5iVGN1Th2DqyWVNIBM8Vwk;187933
0.691;0.67;-4.471;0.0644;0.258;0.764;0.117;0.22;170.066;3l75jB2gKi4VpgklWIbTOz;226168
0.469;0.256;-13.662;0.207;0.97;0.000172;0.0707;0.392;88.745;7d764yeYwCDr6injUcEh18;104349
0.57;0.652;-5.714;0.375;0.692;0.0;0.114;0.306;82.294;057AQe3y9GuU9OUQEp0dL2;198635
0.71;0.496;-9.079;0.0426;0.644;0.0;0.138;0.535;129.998;55cV2Qh2VvKi70Sm1GWoI3;243173
0.644;0.107;-16.936;0.0617;0.531;0.795;0.296;0.684;126.565;0iE3yFTHhxaSl0IIyUpxdE;208588
0.396;0.496;-11.728;0.0356;0.833;0.00534;0.0996;0.679;165.647;5sbw5zIz9ck2pOEDXUR0QU;256653
0.559;0.307;-10.974;0.0905;0.866;0.0;0.118;0.46;96.843;3GyNqFl1vFkcoNgmWtI9w6;194907
0.668;0.605;-7.608;0.0454;0.336;0.000206;0.115;0.877;83.002;384TJj6XyHUyNlCbdgm6Sz;245995
0.507;0.297;-8.539;0.0595;0.924;0.0;0.151;0.551;95.092;1Cqp9TLiBtPXYkCLef2KL0;182053
0.834;0.689;-6.982;0.0337;0.0819;0.00743;0.0931;0.724;127.999;2gHC3sEHu1P8xzEI9YFY0d;384627
0.545;0.67;-8.81;0.0496;0.009;0.000822;0.0451;0.481;151.553;5e9TFTbltYBg2xThimr0rU;270213
0.399;0.0969;-12.578;0.0509;0.929;0.000168;0.121;0.0758;109.54;34xTFwjPQ1dC6uJmleno7x;177922
0.511;0.593;-6.129;0.0505;0.66;5.98e-06;0.0877;0.447;126.576;3u8k0qsYuz06lvTGGLClJg;196347
0.752;0.35;-11.352;0.0456;0.904;0.0362;0.0621;0.55;87.993;0ejF51HDSYwIX7vnehlOtD;218864
0.488;0.0374;-22.637;0.0403;0.947;0.000191;0.147;0.259;87.275;4xvpttkjjEH0l2hrizYla7;206067
0.775;0.522;-10.091;0.0773;0.852;0.00286;0.424;0.364;127.797;703hSWNgehWT0F16awNLr1;148014
0.539;0.481;-10.742;0.148;0.195;0.0616;0.103;0.443;178.091;644y88i3U334LMhPoZTcDT;206352
0.849;0.361;-10.057;0.0641;0.692;0.00673;0.14;0.553;137.539;1QIIQ1B2syNBSvQULkXgTa;214160
0.629;0.572;-9.332;0.0307;0.32;0.000853;0.109;0.182;93.997;3ieLey98V9mIIh3W9gBlPF;188960
0.729;0.461;-6.412;0.349;0.476;0.00453;0.149;0.485;82.188;3Lqsck2T1MyyRmK1993Obk;188186
0.517;0.458;-11.095;0.348;0.956;0.131;0.121;0.49;185.081;1nxg5kRPqyedhJFY7TSrvS;156082
0.617;0.119;-16.968;0.321;0.863;0.0;0.119;0.592;102.649;5KIIAIqQzGrfMmY2BuNyFR;122000
0.713;0.235;-13.42;0.0856;0.899;1.98e-06;0.186;0.366;114.893;3yAlkOEMjk2rH2hZTgvfoH;144963
0.375;0.378;-12.547;0.158;0.85;0.0464;0.12;0.0996;82.631;6LPe0jjqIhdiyVJxSlNSG9;162363
0.58;0.338;-8.963;0.0327;0.929;0.858;0.1;0.207;69.954;4labmONYiTJwI6SRtnogMj;212571
0.761;0.359;-12.326;0.0703;0.957;0.000143;0.147;0.505;103.069;47pcemZiexpOV5ydQL052g;238835
0.519;0.256;-11.056;0.0802;0.659;0.181;0.122;0.309;79.968;6JAPKKs5jXnjS8Kr3JG79x;200250
0.55;0.218;-13.886;0.038;0.896;0.0128;0.111;0.344;79.586;0JKO9jlTWf5yzIMSyiS78i;150158
0.439;0.303;-10.839;0.0422;0.839;0.0;0.071;0.268;139.475;02JIdsrod3BYucThfUFDUX;170787
0.611;0.428;-10.723;0.0474;0.834;0.00517;0.113;0.389;133.281;5lIOhDGfy2lQJWWwxBm8L4;168627
0.734;0.731;-5.24;0.0473;0.0784;0.0;0.108;0.705;96.071;3DZ11M7LSpVQzYHnFx3i95;221307
0.62;0.199;-13.788;0.0344;0.976;0.00178;0.107;0.179;129.01;2UBwvSk8tTMqydEdWsfBb8;218160
0.549;0.313;-11.525;0.0322;0.759;0.108;0.0875;0.216;113.962;1g6aK9HzKkbbQ2RpqtUyvL;292625
0.27;0.215;-18.371;0.0376;0.953;0.948;0.11;0.0502;100.517;7MKJfTaBcB7OvZyCDaRUSx;374973
0.192;0.359;-10.572;0.0287;0.735;0.959;0.28;0.277;144.565;1Iiq3tVtUZF0y8TYRENOHv;78000
0.332;0.134;-15.857;0.0393;0.85;0.0126;0.109;0.146;87.147;362bnKhXyDy78eqsapbGAF;215867
0.592;0.214;-13.468;0.115;0.936;1.62e-05;0.253;0.422;81.672;5cwCW4r6ybpSiHWMpMKHoJ;117037
0.808;0.589;-6.808;0.0412;0.247;1.84e-05;0.152;0.861;119.977;7t9FPbLFwrI8ymM7aeM7qD;144000
0.813;0.42;-7.118;0.113;0.112;1.63e-06;0.171;0.401;94.02;1LEac3XXwvRlOWkKDZjLeK;185601
0.458;0.301;-11.959;0.0796;0.685;9.39e-05;0.0995;0.178;68.526;289EFKMcZghPHBmVBZ8PqB;360600
0.402;0.369;-9.166;0.0851;0.134;0.000194;0.111;0.212;174.376;5DNa1gmm4SVyAjAFGmUrTd;252253
0.78;0.591;-7.764;0.09;0.807;0.0;0.23;0.771;126.803;7eyjhTyv9gSVJQ9HTk6AUU;166280
0.709;0.828;-5.495;0.0366;0.0938;6.59e-05;0.11;0.671;112.027;7uYB2NKD1DrlwpKc3U7fNi;280987
0.685;0.872;-4.945;0.465;0.489;0.0;0.841;0.724;110.044;02M7L7vwVmzrRNq6gx9oxE;226909
0.64;0.74;-4.083;0.0284;0.0115;0.00678;0.167;0.785;116.879;6K4t31amVTZDgR3sKmwUJJ;216320
0.556;0.329;-15.133;0.294;0.152;0.113;0.123;0.39;79.999;4mtiZlPZFfJIMXY1VHccZ2;210274
0.642;0.396;-16.843;0.0642;0.462;0.000823;0.106;0.797;84.082;6Dk5fHTvH897XrVzCO64Mx;286493
0.538;0.677;-6.099;0.187;0.00541;0.0;0.236;0.913;132.346;2cxbxpHrND6i4uvUGVvC9J;214200
0.512;0.602;-10.217;0.0374;0.621;0.000172;0.0742;0.563;112.901;3BD2hlwoExMUXUpxcYxaWx;191560
0.383;0.417;-12.155;0.0316;0.83;0.00154;0.2;0.584;109.319;0ycb2zVgjpzJU6PSXZGn34;229573
0.642;0.594;-8.422;0.0798;0.804;0.000348;0.22;0.297;67.503;1d9K6lxDNAT8AhcMQIUmBF;269000
0.618;0.167;-17.318;0.079;0.885;5.91e-06;0.1;0.425;72.435;7bedo6yq93lQOa32CUOd7R;242116
0.677;0.506;-7.374;0.0798;0.845;0.0;0.111;0.225;80.032;6nl2ROSpHsDyZnT3YX3Jr6;162000
0.675;0.376;-7.739;0.0642;0.825;0.0;0.105;0.592;83.967;7un5FM27KmkEMpsPQ2T062;187947
0.594;0.571;-8.974;0.119;0.705;0.0;0.134;0.817;91.449;34MFdQwkOK0PKb7atsNndb;201600
0.84;0.936;-5.842;0.104;0.0145;9.68e-05;0.331;0.974;100.002;4EehpGBxUO8tOSvttzTucd;233307
0.749;0.41;-12.421;0.13;0.8;0.00611;0.109;0.419;92.015;10YltyNGUd0v3intS5wKFj;240125
0.726;0.295;-14.504;0.219;0.696;0.000356;0.172;0.138;115.067;4svk9KGtIVSEoeG2VjIUSy;178356
0.442;0.345;-12.269;0.277;0.866;0.0366;0.251;0.343;82.824;5NbdN6rPwkntsk9rdHO4vl;305760
0.87;0.666;-9.939;0.0872;0.567;0.303;0.106;0.847;118.012;5pm9nGzY5b5gp424c6iYZh;150671
0.372;0.0542;-18.745;0.0438;0.967;1.53e-05;0.0738;0.171;72.929;5Va2ImszhfJhRUgayR7ZaP;396973
0.71;0.391;-11.905;0.0471;0.995;0.919;0.283;0.83;100.835;69AErjwYbqFlOZHwIx6wxN;158724
0.393;0.337;-12.143;0.0677;0.868;0.067;0.0988;0.193;79.824;1ik7SbTtr6FyBqe2HHWnfk;266213
0.657;0.737;-8.019;0.0496;0.183;7.75e-06;0.339;0.799;132.16;64o5mOOCjjKpN1r4gmqI0F;339410
0.551;0.144;-13.883;0.0392;0.515;0.0;0.187;0.648;128.122;4Z4eU8yoBtBGIQPQrhCFr2;194307
0.181;0.241;-11.626;0.0309;0.9;2.21e-06;0.0808;0.127;84.693;1vLPTWPfJSIrqOhNUWNfNY;266973
0.259;0.473;-8.275;0.0295;0.592;0.0;0.201;0.539;90.348;74VR3AkGPhbYXnxcOYa16x;157867
0.573;0.602;-5.643;0.0357;0.385;0.0;0.0912;0.684;90.692;6ZsKRsnPsdZvXfqqE6bTPy;198240
0.5;0.391;-6.451;0.0335;0.743;0.0;0.0847;0.539;139.972;7xx7mUGAPcMd6gGqHzoec9;139507
0.507;0.362;-12.331;0.0298;0.723;2.86e-05;0.287;0.362;133.61;6GeWZVrbNw4qOWZYY0VKdQ;187867
0.377;0.337;-7.346;0.0341;0.808;0.0;0.238;0.545;117.316;2o0hVSbnkdvDDKKVNaUxnB;245187
0.278;0.433;-11.554;0.0466;0.3;0.000254;0.111;0.379;169.417;3fPsdxz17Zk7GIOxpGyc8C;247240
0.815;0.372;-7.636;0.215;0.717;0.0;0.0588;0.855;92.747;5ez6STfeeuCyahjmGFmudi;205683
0.701;0.418;-9.135;0.0368;0.421;1.06e-06;0.725;0.648;109.781;6pS1b2mb44tohUH37oKXbc;364253
0.411;0.355;-7.108;0.0291;0.921;3.8e-05;0.111;0.16;101.46;4NADcylvrsRHTsWxb8A9Oo;232211
0.473;0.455;-8.774;0.0339;0.201;0.15;0.142;0.33;82.717;3F2Fp02Tqe5JNDjnLwQXt8;268973
0.745;0.219;-11.216;0.0276;0.851;1.8e-05;0.0678;0.635;88.609;1zNXF2svmdlNxfS5XeNUgr;186251
0.782;0.684;-7.398;0.0759;0.457;0.112;0.437;0.0925;101.999;6gr7Wcb6w0DxDhEpzOp6Ct;270882
0.693;0.918;-8.307;0.088;0.323;0.558;0.392;0.757;176.15;0vTJP35J4M1PY9iAA8UmbV;207401
0.394;0.151;-16.748;0.0359;0.976;0.739;0.0664;0.31;178.051;3jQyadhLTxpxadQlkFh2b8;160240
0.244;0.415;-6.589;0.03;0.39;0.00871;0.188;0.0699;184.318;6TLGmbTgp7hJ7jsDTTHRzw;341000
0.471;0.352;-9.699;0.0391;0.633;2.75e-05;0.115;0.102;118.333;6fracv4du3sDwo1XKcPrkw;282329
0.569;0.314;-8.241;0.0579;0.845;2.03e-05;0.12;0.311;179.332;2JlQOgJZdvQ5YJrVxY13wQ;249560
0.286;0.0847;-9.883;0.0397;0.934;6.94e-06;0.121;0.112;70.743;7sq2z9oX2S0CvgTqCZ0ko4;255987
0.638;0.395;-11.299;0.1;0.724;0.569;0.0761;0.316;78.516;2RcanAJpudPNDkyIe9DzKS;344347
0.714;0.722;-5.837;0.0936;0.164;2.38e-06;0.175;0.628;92.017;4AOUkAWdXPucnYe6GYdZjk;249493
0.734;0.776;-4.193;0.0826;0.0406;0.193;0.0547;0.843;78.542;5MjAFPcmrR1DYCgZrXCN4d;269173
0.788;0.258;-11.758;0.104;0.171;0.00721;0.326;0.335;127.492;5LIwaG8Wl9LfExcmiRQm7J;356493
0.848;0.542;-7.164;0.0539;0.155;7.99e-05;0.0767;0.538;132.038;2NDMLu8ZNrAsAsPAoW5VOx;232773
0.618;0.52;-9.232;0.367;0.719;0.0117;0.146;0.698;144.922;14WC3aPKp9cGWMErF8lkza;147791
0.761;0.197;-9.166;0.0487;0.906;0.0;0.173;0.124;91.952;17XM56nFlQizU5pACaGEx7;260333
0.828;0.325;-12.085;0.0913;0.924;0.0;0.104;0.752;125.922;6Kw7dmfWtu8JzxUq4WcumJ;248467
0.224;0.146;-16.331;0.0338;0.961;0.712;0.113;0.142;94.255;5Zf25eS8E1znm9mez4cGsm;130693
0.678;0.284;-13.395;0.0365;0.909;0.0234;0.117;0.612;130.92;4dnlbvqglDqyuGYjg8rBfc;244632
0.751;0.476;-7.807;0.303;0.764;0.0;0.418;0.394;71.019;39chWt35fC3T8I8qxAiYuB;187125
0.812;0.663;-10.283;0.0636;0.353;0.000236;0.0855;0.707;140.006;2YeKQ7zSBbalFl5K0EpEgH;170125
0.568;0.597;-9.631;0.0405;0.801;0.17;0.309;0.197;105.415;40XwcZVS7Oh7VvBuOWrgkk;273059
0.52;0.0975;-12.513;0.0456;0.946;0.0;0.111;0.319;74.947;1UgYbaqmqRbnJ395pHLwMO;125740
0.607;0.548;-3.453;0.0258;0.471;0.0;0.195;0.827;150.189;5LPlvbxA6bJQHvUW12Mr22;130760
0.613;0.197;-16.88;0.0671;0.941;0.00186;0.129;0.515;90.468;1mctnORtGiapyFxJRuBRFR;185507
0.742;0.52;-8.884;0.0304;0.303;0.115;0.152;0.536;96.041;1lNqQ3ss5PVfu4HbvBhxCN;185452
0.38;0.0179;-22.85;0.033;0.982;0.000532;0.0699;0.0608;70.098;7xXnun1bzRKJsOFjb9M53d;102857
0.497;0.351;-9.048;0.0648;0.777;0.0;0.157;0.234;171.719;5HphhcOuLFWBj9IghbrKJB;184242
0.483;0.129;-20.149;0.0349;0.947;0.145;0.106;0.203;137.35;51Grh1RyUDcMBbpuyUIUHI;161929
0.504;0.286;-14.197;0.0466;0.707;2.55e-06;0.112;0.593;97.916;3QQl3tSiEooVLQvC8IT5EE;140707
0.499;0.0772;-19.147;0.0363;0.97;0.91;0.0933;0.184;65.147;1bp8UwteqcCDV3EgnjsdXC;322667
0.66;0.688;-6.34;0.0564;0.434;0.0;0.489;0.65;118.05;7eQpbVg3tjHmtdOlAHxaTr;249407
0.742;0.384;-8.533;0.043;0.872;0.00305;0.132;0.354;69.006;5AIKwGeFoauI8ckPJVhihk;91505
0.663;0.12;-13.662;0.0344;0.925;0.88;0.115;0.19;80.041;6r0Jqgnd5i92R2cuE0Z1q6;162000
0.486;0.819;-8.357;0.0966;0.0428;0.695;0.11;0.0719;127.979;3n5lR03MyGhK7mPV6YiB1u;356267
